Product Name;SKU;Category;Price (€);Stock;Description
Ecoflow tray with superclamp;;to create;;;
Fujifilm Fujinon GF 32-64mm F4 R LM WR;;expenses;;;
Canon RF 70 - 200mm/2.8L IS USM;;expenses;;;
SSD 1Tb;;expenses;;;
CONSUMABLES ---------------------------------;;ignore;;;
Alquiler Furgoneta de c arga Mediana 500km;;expenses;;;
High end retouch and color adjustment. Per image.;;services;;;
Bcn - Vlc;;expenses;;;
OT;;services;;;
M2 for retouching;;add to macbook m2;;;
1x Tetherlock;;add to fotofortress tetherlock ;;;
Bags Packshot;;services;;;
Comida dia 28;;expenses;;;
LUNCH;;expenses;;;
Canon RF 15-35mm;;expenses;;;
ipad M4 nanotexturized screen 1tb;;add to ipad m4;;;
Dior-Vogue Arabia - Ben Hassett - 9/1/23;;services;;;
Digi kit exteriores;;to create;;;
Beauty Retouch;;services;;;
desayuno dia 26;;expenses;;;
Manfrotto Skylite frame 2mx2m;;add to Lastolite Skylite Large Kit 200 x 200 cm / 6,6 x 6,6';;;
1x 1TB SSD T7;;expenses;;;
Soportados - Uber in;;expenses;;;
2x Tethering kit;;add to 2x tether cable usbc to usbc;;;
Perdiem;;expenses;;;
GoPro Max (360º);;expenses;;;
Assorted gels;;expenses;;;
California Sunswatter Big Kit 1/3, 2/3, 3/3;;expenses;;;
renovacion anual derechos de imagenes cedidas;;services;;;
Profoto b3 Kit with head and batteries;;add to profoto b30 duo kit;;;
Edito David;;services;;;
NUMERO-NETHERLADS-ALICANTE;;services;;;
Kit Location Max;;to create;;;
Model pictures;;services;;;
E200 Spigot adapter 16-29mm;;to create;;;
